vin,car_model,car_mk,car_model_yyyy,color,created_at,num
1FTEW1E84AK882947,62,Maybach,2009,Aquamarine,2021-06-23 12:14:51,56.151
WAUEF98E47A862440,Capri,Mercury,1991,Khaki,2021-08-13 15:26:09,
1FMJU1J56AE017018,Grand Caravan,Dodge,2000,Red,2021-03-13 08:10:10,
WBAVM1C55FV380243,LHS,Chrysler,,,2021-11-12 13:16:40,56.915
1G6KD5E62BU946624,C-MAX Hybrid,Ford,,,2021-05-26 08:55:39,
JM3TB2BA1F0240618,Leone,Subaru,1985,Yellow,2021-06-10 01:02:59,7.649
1VWAH7A38DC739858,Diamante,Mitsubishi,,,2021-04-10 11:30:15,10.569
1FTEX1CMXBK036854,GL-Class,Mercedes-Benz,2008,Maroon,2021-03-27 11:21:59,61.018
JN1AZ4EH0BM352428,Forester,Subaru,,,2021-07-14 22:18:13,36.378
3C6JD7APXCG877437,Ram 2500 Club,Dodge,,,2021-09-13 06:17:30,58.59
JA32U1FU7BU182058,Zephyr,Lincoln,2006,Crimson,2021-06-02 16:11:41,
JTEBU5JR1A5582956,Tempo,Ford,1990,Purple,2021-12-22 04:55:38,70.479
1FTEW1CM5EF321719,Taurus X,Ford,2009,Aquamarine,2021-11-12 04:26:35,22.882
WBA4C9C59FG455138,Windstar,Ford,2000,Yellow,2021-04-06 07:28:54,
YV1902AH9B1646720,1 Series,BMW,,,2021-03-28 13:41:11,36.989
WAUDH48H77K536547,Suburban 2500,GMC,1997,Aquamarine,2021-09-23 09:12:39,
1GYS3GKJ8FR034264,Escape,Ford,2006,Violet,2021-01-08 07:12:17,64.404
1G6DS5E37C0842188,Jimmy,GMC,1995,Blue,2021-02-25 17:44:11,8.472
1G4GC5EG5AF274703,Alero,Oldsmobile,2003,Pink,2021-11-06 07:53:43,86.404
1C3CCBAG5EN693884,Z4,BMW,2004,Turquoise,2021-05-04 13:09:09,
19UUA66278A867610,Pajero,Mitsubishi,1995,Goldenrod,2021-06-07 13:18:30,5.028
WAUR4AFD6CN529131,B9 Tribeca,Subaru,2006,Purple,2021-07-28 12:15:52,
1G6AZ5S3XE0591270,Eclipse,Mitsubishi,1999,Turquoise,2021-08-10 19:19:36,82.979
19UUA8F72DA472896,tC,Scion,2013,Pink,2021-07-03 16:15:42,27.527
3VWJP7AT9CM229146,RS6,Audi,2003,Orange,2021-07-24 12:09:22,2.132
1HGCR2F33FA141486,B-Series,Mazda,1986,Puce,2021-04-16 00:59:23,
WDDEJ7KB8CA755542,900,Saab,1997,Indigo,2021-10-25 19:40:12,51.483
JM1CW2BL9E0361829,Cayenne,Porsche,2003,Turquoise,2021-07-26 09:35:25,46.18
1G6AC5S37F0222918,Soul,Kia,,,2021-07-10 18:10:34,80.29
1G6AE5SX7D0543982,IS-F,Lexus,2010,Crimson,2021-05-16 04:22:23,10.998
2FMDK3AK0EB166627,Yukon,GMC,,,2021-12-16 18:39:17,
1N4AL2AP9CC574527,Quattroporte,Maserati,2008,Maroon,2021-02-04 03:00:09,
WBALZ5C54CD350118,Tracer,Mercury,1993,Pink,2021-08-21 19:41:54,53.362
SCBCU7ZA9AC202800,Bonneville,Pontiac,2005,Khaki,2021-05-19 21:43:25,21.762
JA32U2FU7EU474500,Viper,Dodge,1996,Maroon,2021-09-11 06:08:09,68.055
SCFBF03B88G348993,H3T,Hummer,2010,Goldenrod,2021-04-18 01:31:44,7.87
1G4HD57298U915098,Savana 3500,GMC,2001,Maroon,2021-04-06 01:26:03,
JH4CU26619C277419,Vibe,Pontiac,2006,Indigo,2021-08-27 10:01:36,25.14
1N6AA0CA0DN767598,Familia,Mazda,1988,Fuscia,2021-02-17 21:32:40,31.739
SALSF2D40AA034542,Yukon,GMC,1995,Fuscia,2021-07-24 23:25:11,
WA1WMBFE0FD064676,Town & Country,Chrysler,1999,Puce,2021-01-24 07:10:34,11.663
WA1WKAFP7BA082833,Mustang,Ford,,,2021-01-05 18:09:24,
2HKRM3H57FH146646,i-370,Isuzu,,,2021-03-08 16:03:08,
1G6KD57949U813753,Camry,Toyota,1998,Goldenrod,2021-06-06 16:35:58,99.969
WAULT68E84A309364,Cougar,Mercury,,,2021-04-14 03:43:57,
WBAUN1C53CV966167,Tempo,Ford,1990,Fuscia,2021-05-29 04:53:28,42.47
WUADUAFG6CN380696,S5,Audi,2008,Yellow,2021-06-23 23:38:31,
3D73M4CL2BG289420,LSS,Oldsmobile,1997,Crimson,2021-12-13 18:48:22,69.385
3N1CE2CP0EL364743,Mirage,Mitsubishi,1998,Mauv,2021-11-14 04:24:39,63.164
3C6TD5FT3CG781622,760,BMW,2005,Blue,2021-06-04 06:23:32,
JTHBE1BL6FA555575,B-Series,Mazda,2009,Mauv,2021-10-09 17:26:23,51.935
SAJWJ1CD3F8567228,Neon,Plymouth,1998,Indigo,2021-01-17 00:27:18,94.002
KMHCT4AE7CU852957,XK Series,Jaguar,2013,Mauv,2021-01-23 07:10:29,24.031
WBAWB73568P731598,Excursion,Ford,2005,Maroon,2021-10-11 01:48:28,91.005
1FBNE3BL4AD813241,Bonneville,Pontiac,,,2021-01-12 15:53:28,
SALGS2DF0DA546289,RX,Lexus,2008,Violet,2021-10-17 08:34:32,20.15
1G6AW5SX3E0937672,2500,Chevrolet,1996,Maroon,2021-12-09 16:24:42,
1C3CC5FBXAN884824,Montero Sport,Mitsubishi,1999,Crimson,2021-10-06 17:33:15,74.174
WVGEF9BPXED014650,S10,Chevrolet,,,2021-03-20 03:00:01,65.092
19UUA65684A456148,Discovery,Land Rover,1996,Violet,2021-04-18 11:25:59,42.526
JTDKN3DP9F3170223,Escape,Ford,2000,Teal,2021-03-08 17:04:34,
1FBNE3BL5CD128216,Acclaim,Plymouth,1993,Maroon,2021-09-20 21:40:29,22.301
1D7RE3BKXBS876421,Cirrus,Chrysler,1999,Maroon,2021-05-23 16:18:52,1.793
WBABW33466P705700,Tahoe,Chevrolet,2000,Indigo,2021-06-30 09:38:02,
1GKKRNED9CJ558956,300M,Chrysler,,,2021-06-04 00:23:22,14.325
WBAEV53452K733779,Fairlane,Ford,1967,Mauv,2021-12-31 20:52:35,93.948
JH4DB76521S987373,Sonata,Hyundai,2010,Red,2021-01-04 07:36:25,64.358
JM1NC2PF5E0452746,SX4,Suzuki,2007,Orange,2021-02-13 06:23:45,3.958
4T1BF1FKXEU555507,Daewoo Lacetti,Suzuki,2005,Crimson,2021-05-24 21:26:32,79.369
WBA3B9C56DJ867533,98,Oldsmobile,1996,Blue,2021-12-15 06:07:03,
1C4RDJAG3CC425924,Mark LT,Lincoln,2006,Crimson,2021-11-26 02:25:08,96.043
1N6AF0LX3FN958263,Achieva,Oldsmobile,1997,Puce,2021-05-21 03:19:11,56.907
1GTN2TEH1FZ751497,Aerostar,Ford,1994,Blue,2021-05-01 15:45:53,17.991
2G61M5S31F9863713,Corolla,Toyota,1994,Fuscia,2021-02-14 19:56:06,50.511
WBAXG5C53CC267115,928,Porsche,1995,Purple,2021-02-04 16:52:42,37.497
5N1AA0NE0FN763648,Echo,Toyota,2004,Orange,2021-12-23 04:53:30,
WP0AA2A96BS972350,Accent,Hyundai,2005,Red,2021-04-24 10:29:48,59.37
WAUSH78E96A522894,RX-8,Mazda,2011,Violet,2021-04-03 02:18:01,10.943
1D7RW3BK5BS814566,Maxima,Nissan,2007,Blue,2021-09-19 12:22:44,14.078
